range,area,unit
"祥和路片区,,,",金牛区,成都市金牛区棚户区危旧房改造中心
"新鸿南支路,规划道路,新鸿路,红光路规划红线范围内",金牛区,成都经开实业有限公司
"新鸿南支路,规划道路,新鸿路,红光路规划红线范围内",金牛区,成都瑞来房屋拆迁服务有限公司
"新鸿南支路,规划道路,新鸿路,红光路规划红线范围内",金牛区,成都市跃华房屋经营开发有限公司
"祥宇宾馆,新南路,成空一招,新南路87号",武侯区,成都市润诚房屋拆迁有限公司
"祥宇宾馆,新南路,成空一招,新南路87号",武侯区,成都市武侯区危旧房改造中心
"交大路,银桂桥西街,银桂桥一巷,交大工业中心",武侯区,成都市建西投资管理有限公司
"佳灵路,已拆迁空地,武阳大道,无名道路",武侯区,四川省和庆投资有限公司
"蒲阳河,兴盛街,万基酒店,观景路",都江堰市,都江堰市危旧房改造中心
"怡情苑,建设路,都江堰大道,中医院",都江堰市,都江堰市危旧房改造中心
"玉带桥新街,永康巷,都江堰大道,永康巷",都江堰市,都江堰市危旧房改造中心
"原紫东街小学,幸福商业城,广场欣城,怡晴苑",都江堰市,都江堰市危旧房改造中心
"邛崃市安乐堰片区用地红线范围内,,,",邛崃市,邛崃市住房保障中心
"郫县西临郫筒镇南大街、新南街以东、金家巷以北、一环路西南段以南,,,",都江堰市,成都永安拆迁服务有限公司
"晴和苑,东方苑,时运物流公司,建设北路三段",成华区,成都城建置业有限责任公司
"晴和苑,东方苑,时运物流公司,建设北路三段",成华区,成都成华棚户区惠民改造建设有限责任公司
"九里堤南路,市政道路,一环路北一段,九里堤路",武侯区,四川蓉业房屋拆迁有限公司
"祥和路片区,,,",金牛区,成都市金牛区棚户区危旧房改造中心
"东至昭觉寺南路，西至荆翠南一街，南至昭觉寺南路，北至荆翠西路,西至荆翠南一街,南至昭觉寺南路,北至荆翠西路",成华区,四川梓鑫置业有限公司
